date,price(SGD)
2024-12-25,124555
2024-12-26,125747
2024-12-27,124877
2024-12-28,125252
2024-12-29,125302
2024-12-30,125359
2024-12-31,125624
2025-01-01,125696
2025-01-02,125763
2025-01-03,125716
2025-01-04,125181
2025-01-05,125311
2025-01-06,126504
2025-01-07,126330
2025-01-08,126077
2025-01-09,125948
2025-01-10,126058
2025-01-11,125750
2025-01-12,125654
2025-01-13,124774
2025-01-14,125463
2025-01-15,125525
2025-01-16,126404
2025-01-17,127553
2025-01-18,127736
2025-01-19,127758
2025-01-20,127277
2025-01-21,127713
2025-01-22,127127
2025-01-23,127441
2025-01-24,127198
2025-01-25,127176
2025-01-26,127135
2025-01-27,125209
2025-01-28,125170
2025-01-29,125148
2025-01-30,125466
2025-01-31,124998
2025-02-01,124966
2025-02-02,124942
2025-02-03,124909
2025-02-04,124896
2025-02-05,124851
2025-02-06,125127
2025-02-07,125551
2025-02-08,125503
2025-02-09,125458
2025-02-10,125218
2025-02-11,125273
2025-02-12,125461
2025-02-13,125434
2025-02-14,125578
2025-02-15,125496
2025-02-16,125411
2025-02-17,124446
2025-02-18,124712
2025-02-19,124666
2025-02-20,124452
2025-02-21,123716
2025-02-22,123659
2025-02-23,123533
2025-02-24,123127
2025-02-25,123149
2025-02-26,123389
2025-02-27,123363
2025-02-28,123310
2025-03-01,124311
2025-03-02,124315
2025-03-03,124300
2025-03-04,124270
2025-03-05,124219
2025-03-06,124068
2025-03-07,123319
2025-03-08,123262
2025-03-09,123199
2025-03-10,123580
2025-03-11,123156
2025-03-12,123090
2025-03-13,123021
2025-03-14,123379
2025-03-15,125308
2025-03-16,125275
2025-03-17,125650
2025-03-18,125627
2025-03-19,125835
2025-03-20,127327
2025-03-21,128202
2025-03-22,128477
2025-03-23,128465
2025-03-24,128034
2025-03-25,127396
2025-03-26,127401
2025-03-27,127563
2025-03-28,127568
2025-03-29,127578
2025-03-30,127566
2025-03-31,127239
2025-04-01,129378
2025-04-02,129754
2025-04-03,129475
2025-04-04,129200
2025-04-05,129242
2025-04-06,129693
2025-04-07,129740
2025-04-08,130585
2025-04-09,130203
2025-04-10,129832
2025-04-11,129555
2025-04-12,128967
2025-04-13,128918
2025-04-14,128867
2025-04-15,129394
2025-04-16,129849
2025-04-17,129787
2025-04-18,129896
2025-04-19,129545
2025-04-20,128529
2025-04-21,128449
2025-04-22,128248
2025-04-23,128364
2025-04-24,129090
2025-04-25,128845
2025-04-26,128691
2025-04-27,128609
2025-04-28,128989
2025-04-29,128996
2025-04-30,130648
2025-05-01,130072
2025-05-02,130598
2025-05-03,130276
2025-05-04,130151
2025-05-05,130020
2025-05-06,129271
2025-05-07,129090
2025-05-08,128733
2025-05-09,127989
2025-05-10,128182
2025-05-11,128718
2025-05-12,128509
2025-05-13,128024
2025-05-14,127972
2025-05-15,127921
2025-05-16,127951
2025-05-17,127900
2025-05-18,128560
2025-05-19,128527
2025-05-20,128271
2025-05-21,127263
2025-05-22,127334
2025-05-23,127826
2025-05-24,127740
2025-05-25,127658
2025-05-26,127567
2025-05-27,127665
2025-05-28,127618
2025-05-29,127852
2025-05-30,127630
2025-05-31,126781
2025-06-01,127415
2025-06-02,126887
2025-06-03,126845
2025-06-04,127317
2025-06-05,126634
2025-06-06,126393
2025-06-07,125506
2025-06-08,124945
2025-06-09,124912
2025-06-10,125435
2025-06-11,124418
2025-06-12,123931
2025-06-13,124293
2025-06-14,124235
2025-06-15,123796
2025-06-16,123743
2025-06-17,124173
2025-06-18,123765
2025-06-19,124156
2025-06-20,124131
2025-06-21,127125
2025-06-22,127109
2025-06-23,127107
2025-06-24,125773
2025-06-25,125613
2025-06-26,125730
2025-06-27,125431
2025-06-28,125387
2025-06-29,126763
2025-06-30,126717
2025-07-01,125990
2025-07-02,126258
2025-07-03,126472
2025-07-04,126429
2025-07-05,126383
2025-07-06,126343
2025-07-07,126068
2025-07-08,125659
2025-07-09,125630
2025-07-10,128969
2025-07-11,129086
2025-07-12,129833
2025-07-13,129836
2025-07-14,129827
2025-07-15,129828
2025-07-16,129299
2025-07-17,129311
2025-07-18,129722
2025-07-19,129721
2025-07-20,130308
2025-07-21,130449
2025-07-22,130436
2025-07-23,130339
2025-07-24,130302
2025-07-25,130345
2025-07-26,130282
2025-07-27,130301
2025-07-28,130318
2025-07-29,130803
2025-07-30,130842
2025-07-31,131431
2025-08-01,131514
2025-08-02,130367
2025-08-03,130421
2025-08-04,130474
2025-08-05,131563
2025-08-06,131613
2025-08-07,130764
2025-08-08,130781
2025-08-09,130795
2025-08-10,131413
2025-08-11,131396
2025-08-12,131413
2025-08-13,131431
2025-08-14,131429
2025-08-15,131426
2025-08-16,131420
2025-08-17,131410
2025-08-18,131398
2025-08-19,131393
2025-08-20,131392
2025-08-21,131403
2025-08-22,131428
2025-08-23,131147
2025-08-24,130377
2025-08-25,130499
2025-08-26,130176
2025-08-27,130154
2025-08-28,130715
2025-08-29,130602
2025-08-30,130330
2025-08-31,130288
2025-09-01,130565
2025-09-02,130905
2025-09-03,130422
2025-09-04,128305
2025-09-05,128258
2025-09-06,128142
2025-09-07,128093
2025-09-08,128095
2025-09-09,128090
2025-09-10,129879
2025-09-11,129421
2025-09-12,130035
2025-09-13,129633
2025-09-14,129640
2025-09-15,129645
2025-09-16,129865
2025-09-17,129735
2025-09-18,129712
