date,price(SGD)
2024-09-16,121887
2024-09-17,121861
2024-09-18,121793
2024-09-19,122468
2024-09-20,122465
2024-09-21,123091
2024-09-22,122573
2024-09-23,123334
2024-09-24,123832
2024-09-25,123406
2024-09-26,123150
2024-09-27,122723
2024-09-28,122778
2024-09-29,122708
2024-09-30,122260
2024-10-01,122181
2024-10-02,122516
2024-10-03,123226
2024-10-04,123285
2024-10-05,123493
2024-10-06,123501
2024-10-07,124406
2024-10-08,124408
2024-10-09,123748
2024-10-10,123749
2024-10-11,123247
2024-10-12,123247
2024-10-13,123251
2024-10-14,122870
2024-10-15,123445
2024-10-16,123018
2024-10-17,123616
2024-10-18,123413
2024-10-19,123704
2024-10-20,123756
2024-10-21,123815
2024-10-22,123888
2024-10-23,123621
2024-10-24,123807
2024-10-25,123384
2024-10-26,123080
2024-10-27,122633
2024-10-28,122756
2024-10-29,122951
2024-10-30,122457
2024-10-31,122216
2024-11-01,122419
2024-11-02,122503
2024-11-03,122877
2024-11-04,122953
2024-11-05,123799
2024-11-06,123245
2024-11-07,123332
2024-11-08,122219
2024-11-09,123141
2024-11-10,122443
2024-11-11,123063
2024-11-12,123219
2024-11-13,124301
2024-11-14,124213
2024-11-15,124329
2024-11-16,125479
2024-11-17,126164
2024-11-18,126269
2024-11-19,126469
2024-11-20,126949
2024-11-21,126998
2024-11-22,126832
2024-11-23,126405
2024-11-24,126493
2024-11-25,126578
2024-11-26,126390
2024-11-27,126657
2024-11-28,127177
2024-11-29,127014
2024-11-30,127762
2024-12-01,127820
2024-12-02,127694
2024-12-03,127758
2024-12-04,126905
2024-12-05,126963
2024-12-06,127039
2024-12-07,126612
2024-12-08,126669
2024-12-09,126728
2024-12-10,126771
2024-12-11,126772
2024-12-12,126769
2024-12-13,126947
2024-12-14,126712
2024-12-15,126160
2024-12-16,126179
2024-12-17,126305
2024-12-18,125975
2024-12-19,126018
2024-12-20,126212
2024-12-21,124423
2024-12-22,124459
2024-12-23,124485
2024-12-24,124515
