date,price(SGD),watch_id,brand,model,day_of_week,day_of_week_sin,day_of_week_cos,month,month_sin,month_cos,quarter,is_weekend,price_lag_5,price_lag_7,price_lag_14,price_lag_30,rolling_mean_5,rolling_std_5,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,price_change_5,price_change_abs_5,price_change_7,price_change_abs_7,price_change_14,price_change_abs_14,price_change_30,price_change_abs_30,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,volatility_5,volatility_ratio_5,volatility_10,volatility_ratio_10,volatility_20,volatility_ratio_20,volatility_30,volatility_ratio_30,ema_5,price_over_ema_5,ema_10,price_over_ema_10,ema_20,price_over_ema_20,bb_upper_10,bb_lower_10,bb_position_10,bb_upper_20,bb_lower_20,bb_position_20,rsi,tier_entry,tier_mid,tier_high,tier_ultra,brand_tier_premium,brand_tier_non_premium,is_sports_watch,is_dress_watch,is_holiday_season,is_watch_fair_season,luxury_vol_3,luxury_vol_5,luxury_vol_10,price_premium_30d,target,target_pct_change
2024-09-18,75392,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,2,0.9749279121818236,-0.22252093395631434,9,-1.0,-1.8369701987210297e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75411.99999999999,0.9997347902190634,75414.42524916944,0.9997026397921175,75415.57202331391,0.9996874382480766,,,,,,,,0,0,1,0,1,0,0,0,False,False,,,,,75174.0,-0.000556778110666234
2024-09-19,75174,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,3,0.43388373911755823,-0.900968867902419,9,-1.0,-1.8369701987210297e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75313.13846153844,0.998152534014905,75335.21584158415,0.9978600201806926,75345.83391521197,0.9977193972608314,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.025159803032383844,,,,75336.0,-0.0028915534804754284
2024-09-20,75336,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,4,-0.433883739117558,-0.9009688679024191,9,-1.0,-1.8369701987210297e-16,3,False,,,,,75352.0,106.59268267568963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75321.91469194312,1.0001870014605243,75335.44095213819,1.0000074207817031,75343.45517480701,0.9999010507974487,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.04009301984694266,,,,75248.0,0.002155000399074236
2024-09-21,75248,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,5,-0.9749279121818236,-0.2225209339563146,9,-1.0,-1.8369701987210297e-16,3,True,75424.0,,,,75316.8,105.93016567531804,,,,,,,-0.002333474756045839,-176.0,,,,,,,0.9976665252439542,-0.002333474756045839,,,,,0.029284530912715538,1.2737684724512388,,,,,,,75294.9052631579,0.999377045990111,75312.7295164984,0.9991405235620332,75323.3184930672,0.9990000640628423,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.04072102393231049,0.029284530912715538,,,75213.0,-0.0011681002442391897
2024-09-22,75213,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,6,-0.7818314824680299,0.6234898018587334,9,-1.0,-1.8369701987210297e-16,3,True,75434.0,,,,75272.6,89.6593553400901,75317.28571428571,105.79022369090627,,,,,-0.002929713391839228,-221.0,,,,,,,0.9970702866081608,-0.002929713391839228,,,,,0.02881885869999802,0.27380809055324673,,,,,,,75265.90626517728,0.9992970752920867,75288.69870925331,0.9989945541555229,75302.4599966106,0.9988119910476413,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.02780097502299472,0.02881885869999802,,,75184.0,-0.000465128641292778
2024-09-23,75184,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,0,0.0,1.0,9,-1.0,-1.8369701987210297e-16,3,False,75392.0,75424.0,,,75231.0,65.37583651473042,75283.0,104.32161808561806,,,,,-0.002758913412563624,-208.0,-0.0031820110309715988,-240.0,,,,,0.9972410865874364,-0.002758913412563624,,,,,0.028855146126437237,0.0309485554097545,,,,,,,75237.49563838224,0.9992889763550961,75264.87924832656,0.9989254051938394,75281.98359095985,0.9986984456800151,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.006836642076446409,0.028855146126437237,,,75154.0,-0.00038557164319996673
2024-09-24,75154,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,1,0.7818314824680298,0.6234898018587336,9,-1.0,-1.8369701987210297e-16,3,False,75174.0,75434.0,,,75227.0,70.17121917140075,75243.0,89.3849353452207,,,,,-0.00026604943198449416,-20.0,-0.0037118540711085224,-280.0,,,,,0.9997339505680155,-0.00026604943198449416,,,,,0.020265501852017885,0.007449577294529075,,,,,,,75208.92045276721,0.9992697614533411,75240.75580402873,0.998846957302573,75261.45439716065,0.9985722519180456,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0006760010324278746,0.020265501852017885,,,75128.0,-0.0003990210683123552
2024-09-25,75128,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,2,0.9749279121818236,-0.22252093395631434,9,-1.0,-1.8369701987210297e-16,3,False,75336.0,75392.0,,,75185.4,47.33708905288385,75205.28571428571,69.5286854128713,,,,,-0.002760964213656125,-208.0,-0.0035016977928692405,-264.0,,,,,0.9972390357863439,-0.002760964213656125,,,,,0.005502974604214529,0.10824155216375046,,,,,,,75181.47095217579,0.9992887748603668,75217.07075225399,0.9988158173222756,75241.35732130847,0.998493417379163,75503.26825588019,75034.1317441198,0.20008729554637494,,,,,0,0,1,0,1,0,0,0,False,False,0.0004379241074922888,0.005502974604214529,,,74192.0,-0.00034595630305767067
2024-09-26,74192,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,3,0.43388373911755823,-0.900968867902419,9,-1.0,-1.8369701987210297e-16,3,False,75248.0,75174.0,,,74974.2,438.42353951401816,75065.0,390.94202468738894,,,,,-0.014033595577291114,-1056.0,-0.013063027110437164,-982.0,,,,,0.9859664044227089,-0.014033595577291114,0.9836656767076792,-0.016334323292320763,,,0.08561892264379958,1.5880324454512909,0.06343628084126574,1.349683832474994,,,,,74847.7896047379,0.9912383570950987,75007.66161294334,0.9891256226976873,75091.62156070882,0.9880196812638876,75846.9849329181,74444.0150670819,-0.17962970782105253,,,,,0,0,1,0,1,0,0,0,False,False,0.11077309708750888,0.08561892264379958,0.06343628084126574,,74141.0,-0.012458737088701932
2024-09-27,74141,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,4,-0.433883739117558,-0.9009688679024191,9,-1.0,-1.8369701987210297e-16,3,False,75213.0,75336.0,,,74759.8,542.268568146818,74894.28571428571,498.88967193350186,,,,,-0.01425285522449582,-1072.0,-0.015862270362111075,-1195.0,,,,,0.9857471447755042,-0.01425285522449582,0.9828591881644881,-0.01714081183551186,,,0.08524900420124133,1.5499637670269308,0.06292683552313459,1.3547321026480057,,,,,74610.36314177627,0.993709142778405,74834.50420884404,0.9907328281763096,74962.12013965489,0.9890461990919529,75926.82508445816,74105.57491554183,0.019450971131136627,,,,,0,0,1,0,1,0,0,0,False,False,0.10948430103815324,0.08524900420124133,0.06292683552313459,,74099.0,-0.0006874056502048642
2024-09-28,74099,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,5,-0.9749279121818236,-0.2225209339563146,9,-1.0,-1.8369701987210297e-16,3,True,75184.0,75248.0,,,74542.8,547.1487000807011,74730.14285714286,549.5620767397369,,,,,-0.014431261970632048,-1085.0,-0.015269508824154787,-1149.0,,,,,0.985568738029368,-0.014431261970632048,0.9828496392190152,-0.017150360780984752,,,0.08492786835499626,0.015981741756373163,0.06292182697767815,1.3497362113329112,,,,,74439.02840370688,0.9954321219527101,74690.14734865002,0.9920853369603012,74849.16875951723,0.9899775939806701,75919.40093354814,73854.39906645185,0.11845070817882454,,,,,0,0,1,0,1,0,0,0,False,False,0.10844439524052236,0.08492786835499626,0.06292182697767815,,74057.0,-0.0005664881779312569
2024-09-29,74057,Philippe_Chronograph_5172_White_Gold_5172G,Patek Philippe,22640,6,-0.7818314824680299,0.6234898018587334,9,-1.0,-1.8369701987210297e-16,3,True,75154.0,75213.0,,,74323.4,452.55971981607144,74565.0,553.9518631313452,74941.14285714286,546.9561727826674,,,-0.014596694786704667,-1097.0,-0.015369683432385317,-1156.0,,,,,0.9854033052132953,-0.014596694786704667,0.9851411392236678,-0.01485886077633225,,,0.08462545121155211,4.259043920027793e-05,0.06279329066295938,1.3476830138712754,,,,,74311.2478919394,0.9965786082302222,74567.65020740879,0.9931518533038332,74749.06852731758,0.9907414427904924,75906.60416199418,73643.79583800581,0.18260678892407675,,,,10.05260081823495,0,0,1,0,1,0,0,0,False,False,0.0011067584507712135,0.08462545121155211,0.06279329066295938,,74010.0,-0.0005668092686811343
