date,price(SGD),watch_id,brand,model,day_of_week,day_of_week_sin,day_of_week_cos,month,month_sin,month_cos,quarter,is_weekend,price_lag_5,price_lag_7,price_lag_14,price_lag_30,rolling_mean_5,rolling_std_5,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,price_change_5,price_change_abs_5,price_change_7,price_change_abs_7,price_change_14,price_change_abs_14,price_change_30,price_change_abs_30,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,volatility_5,volatility_ratio_5,volatility_10,volatility_ratio_10,volatility_20,volatility_ratio_20,volatility_30,volatility_ratio_30,ema_5,price_over_ema_5,ema_10,price_over_ema_10,ema_20,price_over_ema_20,bb_upper_10,bb_lower_10,bb_position_10,bb_upper_20,bb_lower_20,bb_position_20,rsi,tier_entry,tier_mid,tier_high,tier_ultra,brand_tier_premium,brand_tier_non_premium,is_sports_watch,is_dress_watch,is_holiday_season,is_watch_fair_season,luxury_vol_3,luxury_vol_5,luxury_vol_10,price_premium_30d,target,target_pct_change
2025-01-07,68378,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,1,False,68399.0,68324.0,67698.0,68442.0,68456.2,58.589248160416375,68434.71428571429,61.179283760165006,68290.21428571429,263.78988683360586,68219.43333333333,390.3975589360154,-0.000307022032485893,-21.0,0.0007903518529359665,54.0,0.010044609885077938,680.0,-0.0009350983314339034,-64.0,0.9996929779675141,-0.000307022032485893,0.9996052920108179,-0.00039470798918206373,1.0010394249491268,0.0010394249491267882,0.015841771817985566,0.1334797079390842,0.019625640762995646,0.8071976863988765,0.046088560416222515,0.425824555719638,0.06158382991786204,0.5139098085037325,68424.66194811765,0.9993180536550837,68366.82233846512,1.0001634954083363,68276.97977442914,1.001479564941282,68567.637004873,68260.16299512699,0.3832421640136388,68840.57074140967,67432.12925859034,0.6715726233199799,74.74526928675401,0,0,1,0,1,0,0,0,True,False,0.01725998746790634,0.015841771817985566,0.019625640762995646,0.010925649403450671,68766.0,-0.0010518626734843384
2025-01-08,68766,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,1,False,68433.0,68363.0,67719.0,68474.0,68522.8,147.4710141010858,68492.28571428571,131.56964478201067,68365.0,236.38169914860103,68229.16666666667,400.4732616961395,0.004866073385647374,333.0,0.005895001682196588,403.0,0.015460948921277584,1047.0,0.004264392324093924,292.0,1.0048660733856474,0.004866073385647374,1.004161738292373,0.004161738292373096,1.0066312414913705,0.00663124149137051,0.04433901436171947,1.7028216678436996,0.03469519269767049,1.277958440758177,0.05022063795865724,0.6908552759969387,0.06375553873915871,0.5891293531072995,68538.44129874509,1.0033201616048288,68439.40009511473,1.0047721035606882,68323.55359653608,1.0064757522138947,68712.81400358338,68171.98599641661,1.0983417939008864,68914.42194553076,67403.57805446924,0.9017622228154363,80.0689259046525,0,0,1,0,1,0,0,0,True,False,0.06252780650129475,0.04433901436171947,0.03469519269767049,0.016661984949511377,68842.0,0.005674339699903497
2025-01-09,68842,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,3,0.43388373911755823,-0.900968867902419,1,0.49999999999999994,0.8660254037844387,1,False,68485.0,68399.0,67735.0,68501.0,68594.2,201.2217682061333,68555.57142857143,177.68216674848202,68444.07142857143,190.03824080193604,68240.53333333334,413.095190944921,0.005212820325618761,357.0,0.006476702875773066,443.0,0.016343101793754977,1107.0,0.0049780295178172285,341.0,1.0052128203256188,0.005212820325618761,1.008068413114466,0.008068413114465933,1.017785597066781,0.017785597066781067,0.044301492473776266,1.1577148526751826,0.029825441272154595,1.4853591626534188,0.0327078695885523,0.9118735535925412,0.06381250879284774,0.5864173226255948,68639.62753249673,1.002948332833063,68512.60007782684,1.0048078736144737,68372.92989271204,1.0068604652166289,68844.50400253951,68150.49599746049,0.9963919687940362,68991.62034349478,67446.6796565052,0.9031546358026679,80.73292615213771,0,0,1,0,1,0,0,0,True,False,0.05451985201892613,0.044301492473776266,0.029825441272154595,0.017785597066780998,68735.0,0.0011051973358926492
2025-01-10,68735,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,4,-0.433883739117558,-0.9009688679024191,1,0.49999999999999994,0.8660254037844387,1,False,68535.0,68433.0,68065.0,69069.0,68634.2,206.32547104030317,68598.71428571429,179.614136678366,68491.92857142857,170.60276140161733,68229.4,394.05947389414285,0.0029182169694317306,200.0,0.004413075562959445,302.0,0.009843531918019455,670.0,-0.004835743966178696,-334.0,1.0029182169694317,0.0029182169694317306,1.0060154557695686,0.006015455769568634,1.0158131973693934,0.01581319736939335,0.04812315491901758,0.6203375669701517,0.0321083514721043,1.498773767965849,0.03380602361145932,0.9497819631534674,0.05913677184356321,0.6570621567915422,68671.41835499782,1.000925882215997,68553.03642731544,1.0026543473807683,68407.41304329074,1.0047887639969948,68891.57994906952,68185.62005093049,0.7782027711740018,69031.6172415093,67513.68275849069,0.8045915388130328,71.22940430925222,0,0,1,0,1,0,0,0,True,False,0.058038967226992554,0.04812315491901758,0.0321083514721043,0.016203669480625082,69082.0,-0.0015542837221463879
2025-01-11,69082,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,5,-0.9749279121818236,-0.2225209339563146,1,0.49999999999999994,0.8660254037844387,1,True,68450.0,68485.0,68405.0,69121.0,68760.6,253.47149741144975,68684.0,246.0643547247949,68540.28571428571,229.75887982228346,68228.1,391.0696516146511,0.009233016800584304,632.0,0.008717237351244744,597.0,0.009896937358380153,677.0,-0.0005642279480910783,-39.0,1.0092330168005843,0.009233016800584304,1.010517385135234,0.010517385135234036,1.0209112270382905,0.020911227038290514,0.053492438359767136,1.3855164118287413,0.039094885201604763,1.3682720408032143,0.03686994642548579,1.0603455928696717,0.060991086472399675,0.642389135981584,68808.27890333188,1.0039780256246877,68649.21162235399,1.006304345926459,68471.65989753952,1.0089137623269802,69078.63602012023,68142.36397987977,1.0035929513380564,69128.0249925585,67558.7750074415,0.9706707070288343,71.35646687697161,0,0,1,0,1,0,0,0,True,False,0.05273609900520568,0.053492438359767136,0.039094885201604763,0.021333845858158753,68935.0,0.005048374190732563
2025-01-12,68935,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,6,-0.7818314824680299,0.6234898018587334,1,0.49999999999999994,0.8660254037844387,1,True,68378.0,68535.0,68481.0,68344.0,68872.0,140.51156536030007,68741.14285714286,252.0677346599449,68572.71428571429,251.7356453998483,68247.8,411.4633599142651,0.008145894878469617,557.0,0.005836433938863461,400.0,0.006629576086797817,454.0,0.00864743064497242,591.0,1.0081458948784696,0.008145894878469617,1.0078363718767818,0.007836371876781767,1.0185130463047782,0.018513046304778236,0.05755406760693036,1.3996151502855703,0.04223401569788966,1.3627420138929913,0.03846845018857066,1.0978871124482625,0.05137113580480681,0.7181272822005829,68850.51926888792,1.0012270166152581,68701.17314556458,1.0034035351032504,68515.78782303052,1.0061184756140038,69147.11318132535,68181.08681867467,0.7804271296040741,69168.08508000484,67644.01491999517,0.8470640747907843,63.707729468599034,0,0,1,0,1,0,0,0,True,False,0.06330696247285605,0.05755406760693036,0.04223401569788966,0.01916054347343988,68974.0,-0.002127905966821997
2025-01-13,68974,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,False,68766.0,68450.0,68291.0,68085.0,68913.6,131.80402118297366,68816.0,227.8383930174518,68621.5,259.01700270898095,68277.43333333333,430.8883912886713,0.0030247506034959404,208.0,0.007655222790357907,524.0,0.010001317889619443,683.0,0.013057207901887358,889.0,1.003024750603496,0.0030247506034959404,1.0079055426475532,0.007905542647553165,1.0188484150196462,0.01884841501964618,0.044988593275479875,0.6720862979472868,0.042222356115724155,1.0655159354957346,0.03840849811974218,1.099297243648838,0.04989361492842477,0.7375815601073472,68891.67951259195,1.0011949264118754,68750.77802819092,1.0032468283008746,68559.42734343855,1.006046909558983,69207.32238868385,68229.07761131614,0.7614887458825147,69195.0558219641,67744.64417803592,0.8475909767482248,72.69102990033223,0,0,1,0,1,0,0,0,True,False,0.05754689658302934,0.044988593275479875,0.042222356115724155,0.019737133902038764,69014.0,0.0005657503445275491
2025-01-14,69014,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,1,False,68842.0,68378.0,68324.0,68063.0,68948.0,130.88735615024714,68906.85714285714,129.7670073242887,68670.78571428571,263.6592143633732,68309.13333333333,449.1632629476979,0.0024984747683101105,172.0,0.009301237240048055,636.0,0.01009894034307135,690.0,0.01397234914711376,951.0,1.00249847476831,0.0024984747683101105,1.007724319193984,0.007724319193983975,1.019123141215907,0.01912314121590697,0.044776498867604736,0.003554348796801736,0.04223572310202284,1.0601570324590988,0.03836203523268503,1.100977120891578,0.04984263918511404,0.6804364376776609,68932.45300839463,1.0011829985449008,68798.63656852121,1.0031303444693165,68602.72021566574,1.0059950944079377,69262.54815483384,68279.65184516617,0.747126779916511,69206.84819977845,67862.35180022156,0.8565647332026987,72.81746031746032,0,0,1,0,1,0,0,0,True,False,0.024752996950185263,0.044776498867604736,0.04223572310202284,0.020328508700601725,69296.0,0.0005799286687737659
2025-01-15,69296,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,1,False,68735.0,68766.0,68363.0,68073.0,69060.2,142.5805035760565,68982.57142857143,179.1180775737036,68737.42857142857,295.82913839055493,68349.9,481.340466642689,0.008161780752164116,561.0,0.007707297210830966,530.0,0.013647733423050479,933.0,0.017966007080634006,1223.0,1.0081617807521641,0.008161780752164116,1.0111038155686876,0.011103815568687558,1.0230456927733078,0.023045692773307813,0.046332748502638535,0.8494420254936343,0.04538315439037574,1.0209239336713927,0.03981798745515596,1.1397651486401068,0.05091850766280835,0.7188046261189666,69053.63533892976,1.003509803066568,68889.06628333764,1.005907087127421,68668.74719057385,1.009134472887431,69407.07601802208,68287.32398197791,0.9008030220561254,69255.85620414666,67969.44379585332,1.0312060079602257,76.58119658119658,0,0,1,0,1,0,0,0,True,False,0.03220001255444822,0.046332748502638535,0.04538315439037574,0.024497701030470588,69327.0,0.0040861274524008895
2025-01-16,69327,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,3,0.43388373911755823,-0.900968867902419,1,0.49999999999999994,0.8660254037844387,1,False,69082.0,68842.0,68399.0,67819.0,69109.2,187.09543019540064,69051.85714285714,207.27069946460455,68803.71428571429,317.3497048444243,68400.16666666667,502.27201610395974,0.003546509944703402,245.0,0.007045117805990486,485.0,0.013567449816517696,928.0,0.02223565667438332,1508.0,1.0035465099447034,0.003546509944703402,1.0128122717311907,0.012812271731190705,1.0185411004187175,0.018541100418717482,0.03510263880535816,1.1635907334668467,0.04369698988592735,0.8033193795955953,0.037342551843318784,1.1701661436869768,0.04924342496137358,0.7437875248712855,69144.75689261984,1.0026356750037198,68968.69059545959,1.0051952473136267,68731.43821676797,1.0086650563218789,69492.99792052075,68376.80207947924,0.8512824412910746,69340.00831215222,68011.49168784778,0.9902083933958831,76.5142857142857,0,0,1,0,1,0,0,0,True,False,0.032759269913946086,0.03510263880535816,0.04369698988592735,0.02495601649935688,69356.0,0.0004473562687601351
