date,price(SGD),watch_id,brand,model,day_of_week,day_of_week_sin,day_of_week_cos,month,month_sin,month_cos,quarter,is_weekend,price_lag_5,price_lag_7,price_lag_14,price_lag_30,rolling_mean_5,rolling_std_5,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,price_change_5,price_change_abs_5,price_change_7,price_change_abs_7,price_change_14,price_change_abs_14,price_change_30,price_change_abs_30,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,volatility_5,volatility_ratio_5,volatility_10,volatility_ratio_10,volatility_20,volatility_ratio_20,volatility_30,volatility_ratio_30,ema_5,price_over_ema_5,ema_10,price_over_ema_10,ema_20,price_over_ema_20,bb_upper_10,bb_lower_10,bb_position_10,bb_upper_20,bb_lower_20,bb_position_20,rsi,tier_entry,tier_mid,tier_high,tier_ultra,brand_tier_premium,brand_tier_non_premium,is_sports_watch,is_dress_watch,is_holiday_season,is_watch_fair_season,luxury_vol_3,luxury_vol_5,luxury_vol_10,price_premium_30d,target,target_pct_change
2024-09-16,110862,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,0,0.0,1.0,9,-1.0,-1.8369701987210297e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110862.0,1.0,110862.0,1.0,110862.0,1.0,,,,,,,,0,0,0,1,1,0,0,0,False,False,,,,,111989.0,
2024-09-17,111989,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,1,0.7818314824680298,0.6234898018587336,9,-1.0,-1.8369701987210297e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111538.2,1.0040416646494206,111481.84999999999,1.0045491710085543,111453.675,1.0048031166311922,,,,,,,,0,0,0,1,1,0,0,0,False,False,,,,,112107.0,0.010165791705002647
2024-09-18,112107,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,2,0.9749279121818236,-0.22252093395631434,9,-1.0,-1.8369701987210297e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111807.63157894736,1.0026775311919676,111733.15614617939,1.003345863186139,111693.57202331391,1.003701448249858,,,,,,,,0,0,0,1,1,0,0,0,False,False,,,,,112389.0,0.0010536749145004798
2024-09-19,112389,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,3,0.43388373911755823,-0.900968867902419,9,-1.0,-1.8369701987210297e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112049.12307692308,1.0030332849891523,111949.22747524752,1.003928321210164,111894.33132793018,1.0044208555178733,,,,,,,,0,0,0,1,1,0,0,0,False,False,0.07768652252663284,,,,112124.0,0.002515453985924232
2024-09-20,112124,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,4,-0.433883739117558,-0.9009688679024191,9,-1.0,-1.8369701987210297e-16,3,False,,,,,111894.2,595.2610351770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112077.86729857819,1.000411612948513,111999.39991372717,1.0011125067310076,111949.88622526589,1.0015552831771866,,,,,,,,0,0,0,1,1,0,0,0,False,False,0.03969945509166246,,,,111717.0,-0.0023578819991280087
2024-09-21,111717,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,5,-0.9749279121818236,-0.2225209339563146,9,-1.0,-1.8369701987210297e-16,3,True,110862.0,,,,112065.2,243.46498721581978,,,,,,,0.007712290956324086,855.0,,,,,,,1.007712290956324,0.007712290956324086,,,,,0.08604265591877373,0.16594648151241737,,,,,,,111946.0015037594,0.9979543574519568,111926.05090152565,0.9981322408872482,111900.75786937271,0.9983578496439924,,,,,,,,0,0,0,1,1,0,0,0,False,False,0.05149353405625534,0.08604265591877373,,,111665.0,-0.003629909742784765
2024-09-22,111665,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,6,-0.7818314824680299,0.6234898018587334,9,-1.0,-1.8369701987210297e-16,3,True,111989.0,,,,112000.4,304.3267980313248,111836.14285714286,496.26620160669944,,,,,-0.0028931412906624265,-324.0,,,,,,,0.9971068587093376,-0.0028931412906624265,,,,,0.0394686777910402,0.8999754143707357,,,,,,,111846.51141330744,0.998377138356719,111863.1481209249,0.998228655958165,111856.1818917084,0.9982908240879034,,,,,,,,0,0,0,1,1,0,0,0,False,False,0.025277413762674037,0.0394686777910402,,,111541.0,-0.00046546183660500784
2024-09-23,111541,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,0,0.0,1.0,9,-1.0,-1.8369701987210297e-16,3,False,112107.0,110862.0,,,111887.2,355.6939695862136,111933.14285714286,302.75756449202305,,,,,-0.005048748071039277,-566.0,0.006124731648355697,679.0,,,,,0.9949512519289607,-0.005048748071039277,,,,,0.03673169805017408,0.19710864118428917,,,,,,,111740.53941316417,0.9982142612322072,111789.85787089488,0.9977738779202825,111801.7011180038,0.997668182904224,,,,,,,,0,0,0,1,1,0,0,0,False,False,0.026545230933157343,0.03673169805017408,,,111831.0,-0.0011104643352886079
2024-09-24,111831,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,1,0.7818314824680298,0.6234898018587336,9,-1.0,-1.8369701987210297e-16,3,False,112389.0,111989.0,,,111775.6,220.88186888017245,111910.57142857143,303.78712785043643,,,,,-0.0049648987000506795,-558.0,-0.0014108528516193486,-158.0,,,,,0.9950351012999493,-0.0049648987000506795,,,,,0.03724383661941002,1.1182842169969534,,,,,,,111771.498252569,1.000532351702905,111798.80895844949,1.0002879372495146,111806.40080194053,1.0002200160087709,,,,,,,,0,0,0,1,1,0,0,0,False,False,0.031469871063141475,0.03724383661941002,,,111707.0,0.0025999408289327786
2024-09-25,111707,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,2,0.9749279121818236,-0.22252093395631434,9,-1.0,-1.8369701987210297e-16,3,False,112124.0,112107.0,,,111692.2,104.52368152719433,111853.42857142857,298.25037420644304,,,,,-0.0037190967143519993,-417.0,-0.0035680198381903283,-400.0,,,,,0.996280903285648,-0.0037190967143519993,,,,,0.035367908365406146,1.17707531680072,,,,,,,111749.61942266267,0.9996186168428773,111779.52392072578,0.9993511877830396,111791.43190245975,0.9992447372663281,112626.68094692614,110959.71905307386,0.44828915986748047,,,,,0,0,0,1,1,0,0,0,False,False,0.03399887385824909,0.035367908365406146,,,111344.0,-0.0011088159812574494
2024-09-26,111344,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,3,0.43388373911755823,-0.900968867902419,9,-1.0,-1.8369701987210297e-16,3,False,111717.0,112389.0,,,111617.6,184.73169733426587,111704.14285714286,241.65983569983558,,,,,-0.00333879355872424,-373.0,-0.009298062977693533,-1045.0,,,,,0.9966612064412758,-0.00333879355872424,1.0043477476502318,0.004347747650231826,,,0.03346384555609452,0.7180864124293859,0.06427996309319735,0.5205952826633771,,,,,111612.83154101395,0.9975913921607198,111690.55182861618,0.9968972144649446,111727.58658030789,0.9965667692997899,112464.82010091287,111217.97989908712,0.10107157334865238,,,,,0,0,0,1,1,0,0,0,False,False,0.046981804364736264,0.03346384555609452,0.06427996309319735,,111519.0,-0.003249572542454837
2024-09-27,111519,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,4,-0.433883739117558,-0.9009688679024191,9,-1.0,-1.8369701987210297e-16,3,False,111665.0,112124.0,,,111588.4,186.89248245983242,111617.71428571429,161.29963245018743,,,,,-0.001307482201226895,-146.0,-0.005395811779815185,-605.0,,,,,0.9986925177987731,-0.001307482201226895,0.9958031592388538,-0.004196840761146237,,,0.03715764872370259,1.4564622887065637,0.036235849267797,1.0254388809571742,,,,,111581.31142420997,0.9994415603884321,111656.27608723335,0.9987705475048613,111699.17121537286,0.9983869959516042,112438.87546285504,111149.92453714495,0.2863378701960469,,,,,0,0,0,1,1,0,0,0,False,False,0.03834756683645849,0.03715764872370259,0.036235849267797,,112749.0,0.001571705704842552
2024-09-28,112749,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,5,-0.9749279121818236,-0.2225209339563146,9,-1.0,-1.8369701987210297e-16,3,True,111541.0,111717.0,,,111830.0,546.0329660377648,111765.14285714286,460.7799288783514,,,,,0.010830098349485784,1208.0,0.009237627218775968,1032.0,,,,,1.0108300983494858,0.010830098349485784,1.0057266718402955,0.005726671840295516,,,0.08664199824152015,1.2253133531692986,0.06814024909286688,1.2715245305815894,,,,,111972.5512300056,1.0069342777445471,111870.74419116687,1.0078506298959837,111836.55604128978,1.0081587272624288,112729.57911698401,110987.620883016,1.01114887982805,,,,,0,0,0,1,1,0,0,0,False,False,0.11531112118213582,0.08664199824152015,0.06814024909286688,,112632.0,0.011029510666343834
2024-09-29,112632,Philippe_Nautilus_5711_Stainless_Steel_5711_1A,Patek Philippe,22871,6,-0.7818314824680299,0.6234898018587334,9,-1.0,-1.8369701987210297e-16,3,True,111831.0,111665.0,,,111990.2,653.3549571251446,111903.28571428571,560.0204503068632,111869.71428571429,509.53952493651536,,,0.007162593556348407,801.0,0.008659830743742436,967.0,,,,,1.0071625935563484,0.007162593556348407,1.0021621333048607,0.0021621333048607028,,,0.08930861230526262,1.5166973978819165,0.0676462999315886,1.3202290797217489,,,,,112193.1230526677,1.0039117990068454,112018.02690590011,1.005481020430896,111937.07013505085,1.0062082191727078,112829.89029679412,110935.90970320586,0.8955161961722059,,,,68.93453145057767,0,0,0,1,1,0,0,0,False,False,0.10079098720416141,0.08930861230526262,0.0676462999315886,,112431.0,-0.0010377032168800149
